#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
179 81.277778 145.104868 392 8.064076 20 7011 17 492 1463 66.682829 230.153360 228 676.921648 20 11 196.125969 80.587977 2 16 57 17.885204 9.773172
180 78.000000 142.007433 432 7.706901 23 6519 16 481 1404 64.974654 219.716237 207 732.387458 23 12 216.582181 81.590402 1 16 54 15.090278 8.481390
181 78.166667 143.487611 428 7.706901 27 6040 16 485 1407 65.595233 220.245759 190 786.591998 27 11 234.268688 79.078937 1 16 55 14.112150 8.876702
182 78.166667 147.406185 471 7.706901 27 6442 16 495 1407 67.149554 220.245759 263 847.099074 27 12 258.267514 124.444916 1 16 55 13.677282 10.530811
183 76.944444 143.588328 393 7.470061 23 5550 17 483 1385 65.284861 216.365588 125 772.734242 23 12 233.160217 48.299322 1 16 54 14.122137 9.000161
184 77.833333 141.099748 469 7.588351 24 7119 17 477 1401 64.354741 219.186844 166 730.622813 24 12 214.515804 62.993818 1 16 54 15.179104 10.366314
185 79.611111 144.489576 439 7.825707 25 7192 16 492 1433 66.682829 224.840279 238 702.625870 25 12 208.383842 90.017337 1 16 56 16.382688 10.014990
186 81.111111 150.510940 513 8.064076 21 8233 16 509 1460 69.332373 229.621494 224 717.567170 21 12 216.663666 83.875291 2 17 57 16.048733 10.220549
187 81.111111 147.486681 341 8.064076 20 5693 17 498 1460 67.616641 229.621494 133 717.567170 20 11 211.302005 45.480343 2 16 57 16.695015 9.391186
188 81.333333 149.209770 450 8.064076 22 7534 16 503 1464 68.395923 230.330676 184 719.783364 22 12 213.737261 66.640963 2 17 57 16.742222 9.413713
189 82.222222 147.007390 377 8.183633 22 6797 17 500 1480 67.928234 233.169585 237 647.693291 22 11 188.689540 79.623890 2 16 58 18.029178 11.007675
190 80.222222 145.933986 507 7.944767 24 8374 16 496 1444 67.305209 226.786964 246 708.709262 24 12 210.328779 93.550392 1 16 56 16.516765 11.128673
