#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
252 34.428571 12.948879 186 2.800383 17 3030 20 53 241 4.830327 29.228894 43 91.340293 17 12 15.094771 11.690621 0 1 7 16.290323 15.428699
253 32.571429 15.314392 212 2.597437 17 3620 18 55 228 5.052973 27.399912 49 80.587977 17 12 14.861687 12.910651 0 1 6 17.075472 17.434891
254 30.285714 15.880935 169 2.396992 12 2956 15 53 212 4.830327 25.169312 46 74.027389 12 12 14.206843 11.951036 0 1 6 17.491124 16.755505
255 32.000000 13.596218 232 2.597437 18 3733 18 52 224 4.719566 26.840093 48 83.875291 18 12 14.748643 13.376392 0 1 6 16.090517 15.654004
256 30.428571 12.499796 162 2.396992 12 2748 20 49 213 4.389621 25.308036 42 79.087611 12 12 13.717566 11.357700 0 1 6 16.962963 14.762268
257 31.857143 10.881552 199 2.496892 21 3282 22 48 223 4.280445 26.700360 44 83.438627 21 12 13.376392 12.024996 0 1 6 16.492462 13.996722
258 31.428571 11.745603 176 2.496892 14 2796 18 48 220 4.280445 26.281703 42 87.605675 14 12 14.268151 12.114880 0 1 6 15.886364 13.434125
259 30.428571 12.338756 221 2.396992 18 3557 19 48 213 4.280445 25.308036 46 79.087611 18 12 13.376392 12.697976 0 1 6 16.095023 13.837945
260 30.142857 11.933489 171 2.396992 16 2630 20 48 211 4.280445 25.030684 40 83.435612 16 12 14.268151 11.409448 0 1 6 15.380117 14.079617
261 31.714286 10.832679 181 2.496892 19 2934 22 48 222 4.280445 26.560718 42 83.002243 19 12 13.376392 11.357700 0 1 6 16.209945 13.073532
262 31.285714 13.274189 164 2.496892 17 2811 17 51 219 4.609189 26.142331 44 76.889209 17 12 13.556440 11.317643 0 1 6 17.140244 14.669068
263 31.857143 11.319119 212 2.496892 19 3488 21 49 223 4.389621 26.700360 48 83.438627 19 12 13.717566 13.376392 0 1 6 16.452830 13.735804
264 31.714286 13.863769 138 2.496892 17 2761 20 52 222 4.719566 26.560718 47 66.401794 17 12 11.798914 10.429215 0 1 6 20.007246 15.401626
265 35.666667 14.704497 171 2.902747 20 3583 22 56 214 5.164846 25.446853 52 63.617132 20 12 12.912114 11.798914 0 1 6 20.953216 16.680280
266 32.714286 18.084834 156 2.597437 15 3096 17 59 229 5.502580 27.540087 52 72.473914 15 12 14.480475 12.419910 0 1 6 19.846154 17.903285
267 33.714286 17.782128 183 2.698607 21 3822 18 60 236 5.615844 28.523737 57 71.309342 21 12 14.039611 13.192688 0 1 7 20.885246 18.387242
268 33.857143 15.569463 148 2.698607 18 3137 20 57 237 5.277075 28.664600 49 68.249048 18 12 12.564464 10.451479 0 1 7 21.195946 16.667114
269 34.571429 14.539180 183 2.800383 21 3782 20 56 242 5.164846 29.370176 53 73.425439 21 12 12.912114 12.075816 0 1 7 20.666667 16.473636
270 35.000000 15.306395 159 2.902747 18 3260 18 58 245 5.389655 29.794515 49 74.486288 18 12 13.474138 10.974053 0 1 7 20.503145 17.071391
271 35.000000 14.995237 207 2.902747 24 3643 18 58 245 5.389655 29.794515 51 87.630927 24 12 15.851927 13.556440 0 1 7 17.599034 15.726177
272 32.285714 13.603721 142 2.597437 22 2562 19 52 226 4.719566 27.119826 46 75.332849 22 12 13.109905 11.287090 0 1 6 18.042254 15.751983
273 34.142857 14.691383 185 2.800383 19 3214 21 56 239 5.164846 28.946580 48 85.136999 19 12 15.190723 12.589545 0 1 7 17.372973 16.151189
274 30.571429 19.256592 184 2.396992 14 3133 11 58 214 5.389655 25.446853 49 55.319245 14 12 11.716642 9.542655 0 1 6 23.556391 17.382220
