#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
96 1412.111111 1583.023194 498 221.128580 24 81416 0 3987 25418 707.145118 5449.847047 4701 1602.896190 24 12 207.983858 249.784940 55 176 1362 170.683438 42.824521
97 1461.588235 1568.475058 388 229.798769 18 61662 0 3880 24847 686.056553 5316.128996 4501 1601.243673 18 11 206.643540 243.742209 57 171 1329 166.654054 46.852434
98 1384.888889 1554.630749 493 216.189382 23 77681 0 3875 24928 685.072537 5335.081921 4766 1636.528196 23 12 210.144950 264.515434 54 171 1333 163.195378 47.295709
99 1379.722222 1556.429597 393 215.308568 21 61585 0 3886 24835 687.237542 5313.321604 4464 1619.915123 21 12 209.523641 244.461928 53 171 1328 164.665775 46.292988
100 1376.111111 1546.779661 455 214.780253 25 73995 0 3870 24770 684.088649 5298.116914 4626 1576.820510 25 12 203.597812 248.283246 53 171 1324 168.170455 43.399105
101 1364.333333 1532.929331 405 212.668306 22 63427 0 3846 24558 679.367793 5248.549989 4427 1609.984659 22 12 208.395028 243.697008 53 169 1312 163.894057 47.725059
102 1350.722222 1514.178758 492 210.207038 27 75241 0 3833 24313 676.811911 5191.313071 4530 1622.285335 27 12 211.503722 254.693680 52 169 1297 160.771368 48.667864
103 1332.388889 1502.686710 418 207.046822 24 63313 0 3747 23983 659.926129 5114.296584 4284 1598.217682 24 11 206.226915 239.367825 51 164 1278 160.692893 47.587159
104 1329.888889 1491.940157 462 206.520590 22 72051 0 3747 23938 659.926129 5103.801344 4351 1546.606468 22 12 199.977615 236.153599 51 164 1275 165.254587 46.379190
105 1329.277778 1482.521906 399 206.520590 24 62884 0 3700 23927 650.714478 5101.236098 4287 1545.829121 24 11 197.186205 232.294986 51 162 1275 165.484211 47.672261
106 1329.444444 1479.708388 513 206.520590 23 79799 0 3692 23930 649.147723 5101.935701 4448 1555.468201 23 12 197.910891 243.488345 51 162 1275 164.534021 47.939281
107 1319.666667 1467.428552 409 204.767465 21 63446 0 3650 23754 640.927962 5060.905111 4164 1552.424881 21 12 196.603669 227.655004 51 160 1265 163.520619 48.156072
108 1321.222222 1466.375901 494 205.117969 24 76154 0 3648 23782 640.536785 5067.430965 4265 1564.021903 24 12 197.696538 235.247142 51 160 1266 162.375267 49.283609
109 1292.277778 1431.440138 417 200.041634 25 66040 0 3557 23261 622.761623 4946.112308 4062 1498.821912 25 11 188.715643 218.776107 50 155 1236 165.513784 46.751883
110 1280.166667 1417.269607 500 197.944873 22 76355 0 3524 23043 616.327128 4895.418377 4139 1539.439741 22 12 193.813562 231.824243 49 154 1223 159.072917 51.776532
111 1274.777778 1409.015596 394 196.897335 26 60190 0 3509 22946 613.404397 4872.875140 3968 1542.049095 26 11 194.115315 222.593728 49 153 1218 158.812665 52.095196
112 1264.000000 1399.445327 502 195.152695 22 73437 0 3487 22752 609.120046 4827.813304 4102 1567.471852 22 12 197.766249 236.972207 48 152 1206 154.604211 54.098538
113 1251.833333 1385.796933 446 192.887031 27 67378 0 3422 22533 596.478022 4776.984299 4020 1521.332579 27 11 189.961153 227.280487 48 149 1194 157.058275 51.700084
114 1228.555556 1366.308580 481 188.885186 23 71180 0 3367 22114 585.800194 4679.855102 3932 1539.426021 23 12 192.697432 229.045371 47 146 1169 152.746781 51.230819
115 1225.444444 1364.248439 432 188.363837 25 61395 0 3356 22058 583.666775 4666.885598 3796 1587.376054 25 12 198.526114 227.735482 47 145 1166 147.939759 54.770397
116 1204.944444 1346.238153 504 184.718535 23 70783 0 3325 21689 577.658301 4581.497264 3874 1569.005912 23 12 197.828185 234.546489 46 144 1145 146.852697 54.107595
117 1204.944444 1349.900180 447 184.718535 20 63513 0 3334 21689 579.402103 4581.497264 3839 1569.005912 20 12 198.425378 232.188849 46 144 1145 146.343318 54.469707
118 1206.388889 1352.955290 490 185.065393 21 69678 0 3349 21715 582.309520 4587.509699 3882 1549.834358 21 12 196.726189 231.908850 46 145 1146 148.251064 52.868773
119 1206.666667 1354.328821 428 185.065393 25 59769 0 3338 21720 580.177283 4588.666008 3793 1582.298624 25 12 200.061132 230.673519 46 145 1147 145.423358 55.577357
120 1202.500000 1353.510508 512 184.371744 23 70204 0 3336 21645 579.789681 4571.323794 3906 1598.364963 23 12 202.723665 241.669759 46 144 1142 143.566462 55.303884
121 1202.833333 1356.620075 433 184.371744 24 59866 0 3338 21651 580.177283 4572.710980 3775 1621.528716 24 12 205.736625 235.964374 46 145 1143 141.862559 56.086638
